Nomor laporan,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day
1054110,Kaki Lima Liar,-6.185351,106.811127,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1054396,Kaki Lima Liar,-6.162512,106.842819,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1054476,Kaki Lima Liar,-6.188134,106.815315,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1054543,Kaki Lima Liar,-6.162954,106.841171,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1054801,Kaki Lima Liar,-6.172422,106.81102,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1055722,Kaki Lima Liar,-6.168889,106.842781,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1055802,Kaki Lima Liar,-6.194771,106.814705,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1056688,Kaki Lima Liar,-6.176225,106.872772,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1057507,Kaki Lima Liar,-6.200277,106.815094,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1057526,Kaki Lima Liar,-6.210518,106.798592,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1057588,Kaki Lima Liar,-6.19675,106.840385,Cikini,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
