Nomor laporan,Keterangan Laporan,Foto Laporan,Status laporan,Tanggal lapor,Tanggal ditindaklanjuti,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi
1055646,#angkotngetem #grab Hak pejalan kaku alias trotoar dirampas angkot dan ojek online at Kelurahan Tanahabang dekat taman Bonti #kelurahantanahabang #stasiunkaret,http://lh3.googleusercontent.com/1ruNrpwNlVe60ICznhU_Cb-a0kbe8r10WXRgRLueiB25Kj0T1GJ1GElqHB2UwXcGMgH0Ltzrf1_HxAV2Lb5M6qBofrrrhA=s480-c,complete,10/5/17 5:41 AM,10/12/17 5:13 AM,Parkir Liar,-6.201128,106.815598,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1057258,# Jalan lingkungan di jadikan #parkir. Trotoar sudah di rapihkan bukan buat pejalan kaki tapi buat parkir liar. Tolong di TL. Thanks,http://lh3.googleusercontent.com/XaqmCqBsWAsBgS2piJSKX8f5LISGcoLwQrprlJDY6xexB6J9bxgziFgZcSrSfF_irQ9baazaFZe-9hXpypufGYU5_bw=s480-c,complete,10/7/17 8:11 AM,10/10/17 2:27 AM,Parkir Liar,-6.18639,106.815369,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1059937,#trotoar,http://lh3.googleusercontent.com/LNPW8Ak6IKotlges_AXxvxs6E0MyKy7S33etC96-MCwTtS8P1CHRD0a0NP4FnI9UdyzKkxEXyLfTuZ7FBa-W_fRBQKk=s480-c,complete,10/11/17 3:29 AM,10/11/17 6:32 AM,Parkir Liar,-6.203767,106.801102,Petamburan,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1060089,Parkir trotoar,http://lh3.googleusercontent.com/zOrfIgfXZm6GFaMX5rmO34hNAuQM0IjcHWyUvyZxvcz-ShR8ma5F-vLUPF4GzoGrCtNLkXcaa9ZHfrVnDZEEMD6puxf_=s480-c,wait,10/11/17 7:29 AM,,Parkir Liar,-6.201184,106.808586,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1062113,Kolaborasi parlijer dipinggir jalan dan ditrotoar #buatmacet #jalanlingkungan #PedestrianFirst,http://lh3.googleusercontent.com/ThiVhzKLG5eX4Za-zKURkSkn-GZF1L_84cRYEaAS0O7v-M_ZAFcKQASlVOsH-beKKWd6n9D9Fk0XdXIMkf1xyuvz_RQ=s480-c,wait,10/14/17 3:46 PM,,Parkir Liar,-6.216421,106.79808,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1062453,"Kacau lah ini... Sia-sia trotoar dibikin bagus, gak bisa dipakai sama manusia..",http://lh3.googleusercontent.com/CRVUfkXijssaCY62l85Z0kJf46K48r7lCsLSLUcR3K7coZJytUdP28Cqd2UYPHk-V__daXRQwhSq0KjqtdcrCwMx8Fqecg=s480-c,complete,10/15/17 8:48 AM,2/1/18 1:26 AM,Parkir Liar,-6.20671,106.805237,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1062623,Kolaborasi parlijer vip dipinggir jalan dan di trotoar #PedestrianFirst #jalanlingkungan sebelum hotel mulia,http://lh3.googleusercontent.com/ye60MUE-BkHe7Ico0yY9t0x3GyqZLsb9pc_3aCltBC_gW6NieOFLeX5MwZYcsgFFlMIzAl4Ihs83YpQZPuL2Cya8CynqUA=s480-c,wait,10/15/17 12:05 PM,,Parkir Liar,-6.216472,106.798058,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1071579,Parkir di trotoar,http://lh3.googleusercontent.com/boxcJwsZfgsW4nyNGeAnV3AuZgublXzh4YCJYKhcIGC5MprsDJf25M2rgEnbrxmj0NFBVmeoA0jCCElHERE2IJJFIPF0HQ=s480-c,wait,11/2/17 7:29 AM,,Parkir Liar,-6.186998,106.811325,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1072637,Parlijer vip abadi dengan background suasana gelap sepanjang jalan ini lampu PJU mati serentak untuk menutupi pelanggaran parli dan PKL ditrotoar #jalanlingkungan sebrang komplek GBK jalan Asia Afrika,http://lh3.googleusercontent.com/P1ii5_h5tTAWn2C-gn5LF4Yl-MFrTddcQweztjpoAyEsVBbvsUuOtWQbh32f_Yxdlm12q-Hy0JUrubetXrMTCKNlNo0=s480-c,wait,11/4/17 1:17 PM,,Parkir Liar,-6.217931,106.798164,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1086642,"Trotoar dari arah hotel Millennium dan banyak jadi tempat parkir ilegal, harap ditindak.",http://lh3.googleusercontent.com/RQFrNZDb3LXLJfs91VNvlngNP8cJHfzzWtMK8V10DZsEwGeiFLKXqRk7Go4wBBSmsgeNYyseaWdpNDsuQTchGSeLU5c=s480-c,wait,12/4/17 9:32 AM,,Parkir Liar,-6.185477,106.815742,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
