Nomor laporan,Keterangan Laporan,Foto Laporan,Status laporan,Tanggal lapor,Tanggal ditindaklanjuti,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day,,,
1054110,"PKL dan parkir liar
Tolong di TL #bikinmacet #trotoar",http://lh3.googleusercontent.com/ogZKowTot0gBVQCKY68MDrq6eaHTfR0C4T8gHXh2_6yk2KtDIBRp5U9wULsYZDPLTuPtLx6Yoy70fbeNGZZJn7enwpQ=s480-c,complete,03/10/2017,05/10/2017,Kaki Lima Liar,-6.185351,106.811127,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday,,,
1054396,#atassaluran #trotoar,http://lh3.googleusercontent.com/LjO1F5_irl3QvgUYb7NTvjuZFQtay9ZY9mWJtER0nnruvf96BWHcIjeNuZKjNOQ6fGDLUWC7J1sObxyt1dEEpLJ2h1Ar=s480-c,complete,03/10/2017,17/10/2017,Kaki Lima Liar,-6.162512,106.842819,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday,,,
1054476,"#bikinmacet #trotoar dipenghujung berakhirnya masa Jakarta Baru, tanah abang semakin parah. Balik lagi ke jaman semua semaunya, terima kasih para manusia yang ga mau diatur",http://lh3.googleusercontent.com/7Cfvu_53baNQ7V_0KXMkptQuAJglI-Zox_FOkJ2n2krwt5rP589JlzJLFGuKhJimp8Hv2lxDp1oG3P8lSukNZIXLYbeO=s480-c,complete,03/10/2017,05/10/2017,Kaki Lima Liar,-6.188134,106.815315,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday,,,
1054543,Parkir liar dan kaki lima #atassaluran #trotoar #bikinmacet,http://lh3.googleusercontent.com/WnJFyHolAOK-j3AZ3PGO_H3Hz5lMs11D2W1c4_CCJIPk4BL6-172BxnkeTTUx7k8YNrDI7GwuOTBZHNxqTIpMQ0MKG42=s480-c,complete,03/10/2017,25/10/2017,Kaki Lima Liar,-6.162954,106.841171,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday,,,
1054801,Pkl maaf ya trotoar soalnya dan panjang dan ini biang macet jg kadang,http://lh3.googleusercontent.com/yHpQM0k_qk0_6jSbM-5KH0BvNJ9uQQimKGtlQi7ml5Ay5DH_JT7szQFcHZqbXS1RFnba1l8IcvXXPDv1icGwlT7sSWgK=s480-c,wait,04/10/2017,,Kaki Lima Liar,-6.172422,106.81102,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday,,,
1055722,Pkl #trotoar,http://lh3.googleusercontent.com/ISn15pdtv5xXqo2yg4il0P7-0W0enoy7_NlN835NaaJvSHT5228pQQr0wn5JitqWIP_GdtvitPVoyxeNauzNaL1M_62g=s480-c,complete,05/10/2017,23/10/2017,Kaki Lima Liar,-6.168889,106.842781,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday,,,
1055802,Trotoar habis dipakai ....,http://lh3.googleusercontent.com/3pmsaA8Y2MtEcHOOg7-uduKDkFgCV_qEJXOPVU3IZ3JMBlRJk9DONb6CAdgARIY-3QwxJU2riOY7r-Q2I4hXm7DUZ_NI=s480-c,complete,05/10/2017,12/10/2017,Kaki Lima Liar,-6.194771,106.814705,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday,,,
1056688,#trotoar,http://lh3.googleusercontent.com/5QUlZQVGK2BvKZf2qrJlq50gAzgNsJL5902k5jiTPFYRqiJoRpQOHBHwVWwvADzFO7ftFgw_oRDgRx2A7oEa-MmeIa-FqQ=s480-c,wait,06/10/2017,,Kaki Lima Liar,-6.176225,106.872772,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday,,,
1057507,Pkl #trotoar,http://lh3.googleusercontent.com/oiWIciBscFKd-Qs6A-HTTGuakec8jeDwtmYW4SKbOc0kNt3KRtcK0CyWTl-YRf6ZLm9cfKNzPlKR0glyC42XMpHyNvWY=s480-c,complete,07/10/2017,12/10/2017,Kaki Lima Liar,-6.200277,106.815094,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday,,,
1057526,#trotoar tiap malam minggu begini terus #bikinmacet,http://lh3.googleusercontent.com/-mcZzV1pFu_Fq3Yz1RV9vl-jxfmSGxzeH78nZS08AHsIwoU4FAJOii0A6fQjPaRbF_ZG8kCtNeQEeyMzbJbVujXd6kjI=s480-c,complete,07/10/2017,30/10/2017,Kaki Lima Liar,-6.210518,106.798592,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday,,,
